# file...... ./glm_output/meter_39.csv
# date...... Wed Mar  8 16:08:39 2023
# user...... deras
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,trip_node_meter_950:measured_real_power,trip_node_meter_951:measured_real_power,trip_node_meter_952:measured_real_power,trip_node_meter_953:measured_real_power,trip_node_meter_954:measured_real_power,trip_node_meter_955:measured_real_power,trip_node_meter_956:measured_real_power,trip_node_meter_957:measured_real_power,trip_node_meter_958:measured_real_power,trip_node_meter_959:measured_real_power
2021-12-25 03:13:00 UTC,+4432.59,+4432.59,+0,+0,+4432.59,+0,+4432.59,+0,+0,+0
2021-12-25 03:14:00 UTC,+4428.45,+4428.45,+0,+0,+4428.45,+0,+4428.45,+0,+0,+0
2021-12-25 03:15:00 UTC,+4435.01,+4435.01,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:16:00 UTC,+0,+4431.2,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:17:00 UTC,+4444.74,+4444.74,+0,+0,+0,+0,+0,+0,+0,+0
2021-12-25 03:18:00 UTC,+4454.91,+0,+0,+4457.34,+0,+0,+0,+0,+0,+0
2021-12-25 03:19:00 UTC,+4458.48,+0,+0,+4460.91,+0,+0,+0,+0,+0,+0
2021-12-25 03:20:00 UTC,+4455.58,+0,+0,+4458.01,+0,+0,+0,+0,+0,+0
2021-12-25 03:21:00 UTC,+4462.72,+0,+0,+4465.15,+0,+0,+0,+0,+0,+0
2021-12-25 03:22:00 UTC,+4422.79,+0,+0,+4425.2,+0,+0,+0,+0,+0,+0
2021-12-25 03:23:00 UTC,+4414.08,+0,+0,+4416.48,+0,+0,+0,+0,+0,+0
2021-12-25 03:24:00 UTC,+4411.76,+0,+0,+4414.16,+0,+0,+0,+0,+0,+0
2021-12-25 03:25:00 UTC,+4417.21,+0,+0,+4419.62,+0,+0,+0,+0,+0,+0
2021-12-25 03:26:00 UTC,+0,+0,+0,+4427.55,+0,+0,+0,+0,+0,+0
2021-12-25 03:27:00 UTC,+0,+0,+0,+4416.1,+4416.1,+0,+0,+0,+0,+0
2021-12-25 03:28:00 UTC,+0,+0,+0,+4417.2,+4417.2,+0,+0,+0,+0,+0
2021-12-25 03:29:00 UTC,+0,+0,+0,+4425.87,+4425.87,+0,+0,+0,+0,+0
2021-12-25 03:30:00 UTC,+0,+0,+4424.92,+0,+4424.92,+0,+0,+0,+0,+0
2021-12-25 03:31:00 UTC,+0,+0,+4426.27,+0,+4426.27,+0,+0,+0,+0,+0
2021-12-25 03:32:00 UTC,+0,+0,+4415.22,+0,+4415.22,+0,+0,+4415.22,+0,+0
2021-12-25 03:33:00 UTC,+0,+0,+0,+0,+4434.8,+0,+0,+4434.8,+0,+0
2021-12-25 03:34:00 UTC,+4427.8,+0,+0,+0,+4425.39,+0,+0,+4425.39,+0,+0
2021-12-25 03:35:00 UTC,+4425.25,+0,+0,+0,+4422.84,+0,+0,+4422.84,+0,+0
2021-12-25 03:36:00 UTC,+4428.59,+0,+0,+0,+0,+0,+0,+4428.59,+0,+0
2021-12-25 03:37:00 UTC,+4436.09,+0,+0,+0,+0,+0,+0,+4433.68,+0,+4433.68
2021-12-25 03:38:00 UTC,+4442.84,+0,+0,+0,+0,+0,+0,+4440.42,+0,+4440.42
